x	y	cell
2506572.5800	736534.5190	2612.0000
2506577.4600	736527.8870	2613.0000
2506581.9800	736521.2190	2614.0000
2506588.4200	736514.6520	2615.0000
2506594.3800	736508.0560	2616.0000
2506596.7600	736501.3370	2617.0000
2506843.3400	736209.1740	2667.0000
2506852.4000	736197.2880	2668.0000
2506861.9700	736185.3980	2669.0000
2506871.9700	736173.5190	2670.0000
2506882.4100	736161.6520	2671.0000
2506893.2500	736149.8020	2672.0000
2506904.4800	736137.9690	2673.0000
2506916.0800	736126.1540	2674.0000
2506928.0200	736114.3570	2675.0000
2506940.3000	736102.5770	2676.0000
2506952.8900	736090.8140	2677.0000
2506965.7700	736079.0680	2678.0000
2506978.9300	736067.3380	2679.0000
2507034.0400	736020.5640	2683.0000
2507048.3700	736008.9080	2684.0000
2506267.3000	736636.3600	2731.0000
2506271.5600	736630.8100	2732.0000
2506301.4300	736629.2620	2737.0000
2506324.4400	736632.6880	2741.0000
2506346.1400	736624.1550	2746.0000
2506384.0800	736620.7130	2753.0000
2506390.2100	736622.3940	2754.0000
2506395.5300	736618.0470	2755.0000
2506401.7700	736619.5680	2756.0000
2506406.8900	736615.0490	2757.0000
2506413.2300	736616.5280	2758.0000
2506431.5500	736608.6650	2761.0000
2506438.1900	736609.5490	2762.0000
2506444.8600	736610.1050	2763.0000
2506450.0700	736605.0230	2764.0000
2506496.2600	736582.6940	2772.0000
2506504.1900	736581.3470	2773.0000
2506564.5200	736533.7910	2785.0000
2506569.4200	736527.2530	2786.0000
2506573.9700	736520.6710	2787.0000
2506580.4200	736514.1940	2788.0000
2506586.4200	736507.6850	2789.0000
2506588.8900	736501.0410	2790.0000
2506589.9000	736494.4210	2791.0000
2506781.1300	736287.1530	2833.0000
2506789.4600	736278.5480	2834.0000
2506793.7700	736266.8510	2835.0000
2506838.8300	736193.3840	2841.0000
2506848.0700	736181.5550	2842.0000
2506857.6100	736169.6350	2843.0000
2506867.5900	736157.7260	2844.0000
2506877.9900	736145.8300	2845.0000
2506888.7800	736133.9490	2846.0000
2506899.9500	736122.0850	2847.0000
2506911.4700	736110.2390	2848.0000
2506923.3400	736098.4110	2849.0000
2506935.5300	736086.6030	2850.0000
2506948.0200	736074.8110	2851.0000
2506960.8100	736063.0360	2852.0000
2506973.8600	736051.2780	2853.0000
2507014.5500	736016.1040	2856.0000
2507028.5600	736004.3710	2857.0000
2506264.3500	736628.1950	2908.0000
2506269.3400	736623.2690	2909.0000
2506383.1600	736614.6680	2930.0000
2506389.3200	736616.4360	2931.0000
2506400.5700	736613.5430	2933.0000
2506406.2200	736609.1010	2934.0000
2506412.6100	736610.5910	2935.0000
2506419.0400	736612.0470	2936.0000
2506425.0000	736607.4540	2937.0000
2506481.0800	736583.8560	2947.0000
2506551.9700	736539.4580	2960.0000
2506556.5500	736533.0550	2961.0000
2506561.4700	736526.6200	2962.0000
2506566.0400	736520.1200	2963.0000
2506572.5100	736513.7240	2964.0000
2506578.5400	736507.2960	2965.0000
2506581.1000	736500.7210	2966.0000
2506582.2300	736494.1590	2967.0000
2506753.3400	736310.5240	3008.0000
2506771.2900	736277.6210	3011.0000
2506780.8400	736271.5670	3012.0000
2506784.9600	736259.1940	3013.0000
2506788.9600	736248.0850	3014.0000
2506795.9500	736237.9990	3015.0000
2506825.8800	736188.3300	3019.0000
2506836.0100	736175.9460	3020.0000
2506845.2800	736163.8180	3021.0000
2506854.9300	736151.8300	3022.0000
2506864.9700	736139.8860	3023.0000
2506875.4000	736127.9550	3024.0000
2506886.2200	736116.0400	3025.0000
2506897.3900	736104.1430	3026.0000
2506908.9200	736092.2650	3027.0000
2506920.7700	736080.4010	3028.0000
2506945.4000	736056.7370	3030.0000
2506958.1400	736044.9310	3031.0000
2507011.7100	735997.8960	3035.0000
2507116.0100	735885.1390	3044.0000
2507143.3600	735865.8360	3046.0000
2506221.2300	736620.5930	3083.0000
2506228.8800	736623.1660	3084.0000
2506269.5600	736616.9950	3090.0000
2506275.9500	736619.3560	3091.0000
2506377.0800	736612.7020	3110.0000
2506381.8500	736608.4130	3111.0000
2506388.0300	736610.2860	3112.0000
2506393.5100	736605.9500	3113.0000
2506399.8400	736607.5680	3114.0000
2506405.5600	736603.1010	3115.0000
2506412.0100	736604.6060	3116.0000
2506418.4900	736606.0690	3117.0000
2506452.8300	736586.1190	3123.0000
2506459.8300	736585.7840	3124.0000
2506473.9500	736584.5620	3126.0000
2506544.1300	736538.6940	3138.0000
2506548.6800	736532.3390	3139.0000
2506553.6100	736525.9840	3140.0000
2506558.2100	736519.5640	3141.0000
2506564.6800	736513.2440	3142.0000
2506570.7400	736506.8890	3143.0000
2506573.3700	736500.3760	3144.0000
2506574.6200	736493.8670	3145.0000
